iter	Passed	Remaining
400	24428	36490
401	24488	36428
402	24545	36361
403	24601	36293
404	24660	36229
405	24721	36168
406	24779	36104
407	24838	36039
408	24897	35976
409	24961	35920
410	25016	35851
411	25073	35783
412	25128	35714
413	25186	35650
414	25247	35589
415	25309	35530
416	25367	35465
417	25431	35409
418	25487	35341
419	25546	35278
420	25604	35214
421	25671	35160
422	25732	35100
423	25792	35039
424	25853	34978
425	25917	34921
426	25975	34857
427	26032	34790
428	26091	34728
429	26149	34663
430	26207	34598
431	26262	34530
432	26317	34462
433	26376	34398
434	26431	34331
435	26489	34266
436	26545	34199
437	26599	34130
438	26655	34063
439	26715	34001
440	26769	33932
441	26830	33871
442	26885	33804
443	26948	33745
444	27005	33680
445	27066	33620
446	27123	33555
447	27182	33493
448	27243	33432
449	27306	33374
450	27365	33311
451	27425	33250
452	27479	33182
453	27539	33119
454	27594	33053
455	27650	32986
456	27710	32925
457	27773	32866
458	27828	32800
459	27886	32736
460	27939	32666
461	27998	32604
462	28053	32536
463	28110	32472
464	28166	32406
465	28228	32348
466	28285	32282
467	28342	32217
468	28397	32151
469	28464	32097
470	28521	32033
471	28585	31977
472	28642	31912
473	28704	31853
474	28761	31789
475	28819	31725
476	28874	31659
477	28939	31603
478	28996	31538
479	29057	31478
480	29117	31418
481	29183	31362
482	29243	31302
483	29303	31240
484	29361	31177
485	29428	31123
486	29488	31062
487	29547	31000
488	29607	30939
489	29668	30879
490	29728	30818
491	29784	30753
492	29845	30693
493	29907	30633
494	29964	30569
495	30019	30503
496	30074	30437
497	30134	30376
498	30193	30314
499	30252	30252
500	30310	30189
501	30371	30129
502	30427	30064
503	30489	30005
504	30545	29940
505	30609	29883
506	30671	29824
507	30729	29761
508	30786	29698
509	30849	29639
510	30910	29579
511	30971	29519
512	31031	29458
513	31092	29399
514	31153	29338
515	31207	29272
516	31264	29208
517	31323	29146
518	31378	29080
519	31437	29018
520	31494	28955
521	31555	28895
522	31611	28831
523	31671	28770
524	31731	28709
525	31798	28655
526	31858	28593
527	31920	28534
528	31977	28471
529	32040	28413
530	32097	28350
531	32154	28286
532	32212	28223
533	32273	28163
534	32330	28100
535	32384	28034
536	32442	27971
537	32507	27915
538	32562	27850
539	32618	27786
540	32679	27726
541	32745	27670
542	32800	27605
543	32858	27543
544	32915	27479
545	32974	27418
546	33028	27352
547	33086	27290
548	33148	27231
549	33217	27177
550	33278	27118
551	33335	27054
552	33392	26991
553	33450	26929
554	33514	26871
555	33568	26806
556	33628	26745
557	33687	26684
558	33742	26619
559	33796	26554
560	33850	26489
561	33908	26427
562	33964	26363
563	34023	26301
564	34081	26239
565	34141	26178
566	34204	26121
567	34262	26059
568	34320	25996
569	34381	25936
570	34438	25873
571	34498	25813
572	34553	25749
573	34611	25686
574	34669	25625
575	34721	25558
576	34775	25493
577	34835	25433
578	34893	25371
579	34950	25309
580	35009	25247
